Measure,Location,Sex,Age,Cancer,Metric,Year start,Year end,Value,,
Deaths,Albania,Male,All Ages,Neoplasms,Number,2006,2016,0.188383096,,0.208749221
Deaths,Albania,Female,All Ages,Neoplasms,Number,2006,2016,0.117589088,,0.20830045
Deaths,Albania,Both,All Ages,Neoplasms,Number,2006,2016,0.163389272,,0.208573232
Deaths,Albania,Male,All Ages,Stomach cancer,Number,2006,2016,0.055505174,,0.060917627
Deaths,Albania,Female,All Ages,Stomach cancer,Number,2006,2016,-0.01950368,,-0.001160492
Deaths,Albania,Both,All Ages,Stomach cancer,Number,2006,2016,0.031095007,,0.040937389
Deaths,Albania,Male,All Ages,Liver cancer,Number,2006,2016,0.228298896,,0.194549707
Deaths,Albania,Female,All Ages,Liver cancer,Number,2006,2016,0.171646821,,0.135997947
Deaths,Albania,Both,All Ages,Liver cancer,Number,2006,2016,0.212366249,,0.178231622
Deaths,Albania,Male,All Ages,Pancreatic cancer,Number,2006,2016,0.343401822,,0.335532941
Deaths,Albania,Female,All Ages,Pancreatic cancer,Number,2006,2016,0.314121105,,0.325784112
Deaths,Albania,Both,All Ages,Pancreatic cancer,Number,2006,2016,0.332453273,,0.331960811
Deaths,Albania,Male,All Ages,Kidney cancer,Number,2006,2016,0.401982542,,0.370194704
Deaths,Albania,Female,All Ages,Kidney cancer,Number,2006,2016,0.217094543,,0.173833598
Deaths,Albania,Both,All Ages,Kidney cancer,Number,2006,2016,0.35061985,,0.298794861
Deaths,Albania,Male,All Ages,Bladder cancer,Number,2006,2016,0.345692018,,0.4147389
Deaths,Albania,Female,All Ages,Bladder cancer,Number,2006,2016,0.213833142,,0.32623442
Deaths,Albania,Both,All Ages,Bladder cancer,Number,2006,2016,0.301891824,,0.385533378
Deaths,Albania,Male,All Ages,Brain and nervous system cancer,Number,2006,2016,0.076309723,,0.081095528
Deaths,Albania,Female,All Ages,Brain and nervous system cancer,Number,2006,2016,0.101876452,,0.116705192
Deaths,Albania,Both,All Ages,Brain and nervous system cancer,Number,2006,2016,0.086375252,,0.095166042
Deaths,Albania,Male,All Ages,Thyroid cancer,Number,2006,2016,0.225895378,,0.400144556
Deaths,Albania,Female,All Ages,Thyroid cancer,Number,2006,2016,0.055637299,,0.326777335
Deaths,Albania,Both,All Ages,Thyroid cancer,Number,2006,2016,0.142060773,,0.352408076
Deaths,Albania,Male,All Ages,Larynx cancer,Number,2006,2016,0.154794901,,0.206705429
Deaths,Albania,Female,All Ages,Larynx cancer,Number,2006,2016,0.012875622,,0.060324374
Deaths,Albania,Both,All Ages,Larynx cancer,Number,2006,2016,0.134679221,,0.184277588
Deaths,Albania,Male,All Ages,Breast cancer,Number,2006,2016,0.134838715,,0.241520956
Deaths,Albania,Female,All Ages,Breast cancer,Number,2006,2016,0.091113265,,0.216450493
Deaths,Albania,Both,All Ages,Breast cancer,Number,2006,2016,0.092646345,,0.217108452
Deaths,Albania,Male,All Ages,Colon and rectum cancer,Number,2006,2016,0.269818248,,0.358524461
Deaths,Albania,Female,All Ages,Colon and rectum cancer,Number,2006,2016,0.191148084,,0.286695089
Deaths,Albania,Both,All Ages,Colon and rectum cancer,Number,2006,2016,0.233405945,,0.326232538
Deaths,Albania,Male,All Ages,Gallbladder and biliary tract cancer,Number,2006,2016,0.237301132,,0.233330798
Deaths,Albania,Female,All Ages,Gallbladder and biliary tract cancer,Number,2006,2016,0.177881741,,0.1897537
Deaths,Albania,Both,All Ages,Gallbladder and biliary tract cancer,Number,2006,2016,0.206066693,,0.210525409
Deaths,Argentina,Male,All Ages,Larynx cancer,Number,2006,2016,-0.063178013,,0.05522456
Deaths,Argentina,Female,All Ages,Larynx cancer,Number,2006,2016,0.129742472,,0.268975304
Deaths,Argentina,Both,All Ages,Larynx cancer,Number,2006,2016,-0.0416556,,0.078852633
Deaths,Argentina,Male,All Ages,Breast cancer,Number,2006,2016,0.161553955,,0.300056012
Deaths,Argentina,Female,All Ages,Breast cancer,Number,2006,2016,0.075217411,,0.265736603
Deaths,Argentina,Both,All Ages,Breast cancer,Number,2006,2016,0.0760495,,0.265979328
Deaths,Argentina,Male,All Ages,Colon and rectum cancer,Number,2006,2016,0.161160383,,0.327731115
Deaths,Argentina,Female,All Ages,Colon and rectum cancer,Number,2006,2016,0.131011805,,0.269664443
Deaths,Argentina,Both,All Ages,Colon and rectum cancer,Number,2006,2016,0.147088279,,0.30141328
Deaths,Argentina,Male,All Ages,Gallbladder and biliary tract cancer,Number,2006,2016,0.090860763,,0.113720635
Deaths,Argentina,Female,All Ages,Gallbladder and biliary tract cancer,Number,2006,2016,0.061009473,,0.081368787
Deaths,Argentina,Both,All Ages,Gallbladder and biliary tract cancer,Number,2006,2016,0.07176347,,0.093193417
Deaths,Argentina,Male,All Ages,Pancreatic cancer,Number,2006,2016,0.173978126,,0.186203459
Deaths,Argentina,Female,All Ages,Pancreatic cancer,Number,2006,2016,0.198157949,,0.216590434
Deaths,Argentina,Both,All Ages,Pancreatic cancer,Number,2006,2016,0.186470023,,0.201644338
Deaths,Argentina,Male,All Ages,Kidney cancer,Number,2006,2016,0.234642164,,0.297420416
Deaths,Argentina,Female,All Ages,Kidney cancer,Number,2006,2016,0.245488449,,0.318361865
Deaths,Argentina,Both,All Ages,Kidney cancer,Number,2006,2016,0.238188899,,0.304878867
Deaths,Argentina,Male,All Ages,Bladder cancer,Number,2006,2016,0.087318389,,0.228240685
Deaths,Argentina,Female,All Ages,Bladder cancer,Number,2006,2016,0.141445434,,0.27587541
Deaths,Argentina,Both,All Ages,Bladder cancer,Number,2006,2016,0.101959179,,0.239877955
Deaths,Argentina,Male,All Ages,Brain and nervous system cancer,Number,2006,2016,0.198524464,,0.235227707
Deaths,Argentina,Female,All Ages,Brain and nervous system cancer,Number,2006,2016,0.175687996,,0.220974648
Deaths,Argentina,Both,All Ages,Brain and nervous system cancer,Number,2006,2016,0.188216008,,0.228854137
Deaths,Argentina,Male,All Ages,Thyroid cancer,Number,2006,2016,0.074757058,,0.50952067
Deaths,Argentina,Female,All Ages,Thyroid cancer,Number,2006,2016,0.104705048,,0.598380079
Deaths,Argentina,Both,All Ages,Thyroid cancer,Number,2006,2016,0.093187859,,0.573343846
Deaths,Argentina,Male,All Ages,Liver cancer,Number,2006,2016,0.180757411,,0.19938221
Deaths,Argentina,Female,All Ages,Liver cancer,Number,2006,2016,0.158656472,,0.173721777
Deaths,Argentina,Both,All Ages,Liver cancer,Number,2006,2016,0.171001292,,0.188185177
Deaths,Argentina,Male,All Ages,Neoplasms,Number,2006,2016,0.097630058,,0.230168507
Deaths,Argentina,Female,All Ages,Neoplasms,Number,2006,2016,0.127632672,,0.236413709
Deaths,Argentina,Both,All Ages,Neoplasms,Number,2006,2016,0.111584327,,0.233261933
Deaths,Argentina,Male,All Ages,Stomach cancer,Number,2006,2016,0.016133779,,0.052400827
Deaths,Argentina,Female,All Ages,Stomach cancer,Number,2006,2016,0.044174872,,0.084627199
Deaths,Argentina,Both,All Ages,Stomach cancer,Number,2006,2016,0.025642669,,0.063150937
Deaths,Australia,Male,All Ages,Neoplasms,Number,2006,2016,0.265899236,,0.360811083
Deaths,Australia,Female,All Ages,Neoplasms,Number,2006,2016,0.236921256,,0.298488822
Deaths,Australia,Both,All Ages,Neoplasms,Number,2006,2016,0.253362276,,0.336962209
Deaths,Australia,Male,All Ages,Stomach cancer,Number,2006,2016,0.256465992,,0.460293372
Deaths,Australia,Female,All Ages,Stomach cancer,Number,2006,2016,0.279317095,,0.559861213
Deaths,Australia,Both,All Ages,Stomach cancer,Number,2006,2016,0.265774114,,0.49853274
Deaths,Australia,Male,All Ages,Liver cancer,Number,2006,2016,0.527516875,,0.823061848
Deaths,Australia,Female,All Ages,Liver cancer,Number,2006,2016,0.44935052,,0.463361933
Deaths,Australia,Both,All Ages,Liver cancer,Number,2006,2016,0.500621312,,0.720430793
Deaths,Australia,Male,All Ages,Larynx cancer,Number,2006,2016,0.113094583,,0.253487318
Deaths,Australia,Female,All Ages,Larynx cancer,Number,2006,2016,0.212989498,,0.318007888
Deaths,Australia,Both,All Ages,Larynx cancer,Number,2006,2016,0.126880378,,0.261162085
Deaths,Australia,Male,All Ages,Breast cancer,Number,2006,2016,0.260258803,,0.405992264
Deaths,Australia,Female,All Ages,Breast cancer,Number,2006,2016,0.169537737,,0.246573325
Deaths,Australia,Both,All Ages,Breast cancer,Number,2006,2016,0.170337996,,0.247246847
Deaths,Australia,Male,All Ages,Colon and rectum cancer,Number,2006,2016,0.214640023,,0.281818075
Deaths,Australia,Female,All Ages,Colon and rectum cancer,Number,2006,2016,0.196699265,,0.23857941
Deaths,Australia,Both,All Ages,Colon and rectum cancer,Number,2006,2016,0.20620455,,0.261800095
Deaths,Australia,Male,All Ages,Gallbladder and biliary tract cancer,Number,2006,2016,0.094699543,,0.108561878
Deaths,Australia,Female,All Ages,Gallbladder and biliary tract cancer,Number,2006,2016,0.103431016,,0.14626255
Deaths,Australia,Both,All Ages,Gallbladder and biliary tract cancer,Number,2006,2016,0.099674902,,0.132026716
Deaths,Australia,Male,All Ages,Kidney cancer,Number,2006,2016,0.30269846,,0.304716625
Deaths,Australia,Female,All Ages,Kidney cancer,Number,2006,2016,0.193594003,,0.214834651
Deaths,Australia,Both,All Ages,Kidney cancer,Number,2006,2016,0.260741393,,0.273746324
Deaths,Australia,Male,All Ages,Bladder cancer,Number,2006,2016,0.345751582,,0.390963029
Deaths,Australia,Female,All Ages,Bladder cancer,Number,2006,2016,0.235335618,,0.31635501
Deaths,Australia,Both,All Ages,Bladder cancer,Number,2006,2016,0.311906792,,0.37151744
Deaths,Australia,Male,All Ages,Brain and nervous system cancer,Number,2006,2016,0.253450672,,0.28566199
Deaths,Australia,Female,All Ages,Brain and nervous system cancer,Number,2006,2016,0.228957236,,0.259116385
Deaths,Australia,Both,All Ages,Brain and nervous system cancer,Number,2006,2016,0.243204746,,0.274552339
Deaths,Australia,Male,All Ages,Thyroid cancer,Number,2006,2016,0.289421172,,0.582406615
Deaths,Australia,Female,All Ages,Thyroid cancer,Number,2006,2016,0.184445677,,0.43341394
Deaths,Australia,Both,All Ages,Thyroid cancer,Number,2006,2016,0.230418827,,0.47943741
Deaths,Australia,Male,All Ages,Pancreatic cancer,Number,2006,2016,0.332204561,,0.43706624
Deaths,Australia,Female,All Ages,Pancreatic cancer,Number,2006,2016,0.298974062,,0.399020416
Deaths,Australia,Both,All Ages,Pancreatic cancer,Number,2006,2016,0.316015172,,0.418537179
Deaths,Austria,Male,All Ages,Larynx cancer,Number,2006,2016,-0.047400257,,0.036864697
Deaths,Austria,Female,All Ages,Larynx cancer,Number,2006,2016,-0.039186169,,0.084355545
Deaths,Austria,Both,All Ages,Larynx cancer,Number,2006,2016,-0.046458045,,0.043051518
Deaths,Austria,Male,All Ages,Breast cancer,Number,2006,2016,0.167588056,,0.299420787
Deaths,Austria,Female,All Ages,Breast cancer,Number,2006,2016,0.024977747,,0.11073562
Deaths,Austria,Both,All Ages,Breast cancer,Number,2006,2016,0.027303119,,0.112761944
Deaths,Austria,Male,All Ages,Colon and rectum cancer,Number,2006,2016,0.049573539,,0.137230523
Deaths,Austria,Female,All Ages,Colon and rectum cancer,Number,2006,2016,-0.021198545,,0.091753592
Deaths,Austria,Both,All Ages,Colon and rectum cancer,Number,2006,2016,0.016382581,,0.116330505
Deaths,Austria,Male,All Ages,Gallbladder and biliary tract cancer,Number,2006,2016,0.154944194,,0.20329854
Deaths,Austria,Female,All Ages,Gallbladder and biliary tract cancer,Number,2006,2016,-0.029673863,,0.197150357
Deaths,Austria,Both,All Ages,Gallbladder and biliary tract cancer,Number,2006,2016,0.045653868,,0.199564777
Deaths,Austria,Male,All Ages,Pancreatic cancer,Number,2006,2016,0.231702861,,0.294077676
Deaths,Austria,Female,All Ages,Pancreatic cancer,Number,2006,2016,0.162350993,,0.274351593
Deaths,Austria,Both,All Ages,Pancreatic cancer,Number,2006,2016,0.195347606,,0.283432854
Deaths,Austria,Male,All Ages,Neoplasms,Number,2006,2016,0.130733305,,0.228893336
Deaths,Austria,Female,All Ages,Neoplasms,Number,2006,2016,0.080809391,,0.171145918
Deaths,Austria,Both,All Ages,Neoplasms,Number,2006,2016,0.107407746,,0.202119342
Deaths,Austria,Male,All Ages,Stomach cancer,Number,2006,2016,0.037727852,,0.216887925
Deaths,Austria,Female,All Ages,Stomach cancer,Number,2006,2016,-0.086121592,,0.088893769
Deaths,Austria,Both,All Ages,Stomach cancer,Number,2006,2016,-0.01782683,,0.160276329
Deaths,Austria,Male,All Ages,Liver cancer,Number,2006,2016,0.207909721,,0.356368329
Deaths,Austria,Female,All Ages,Liver cancer,Number,2006,2016,0.099890188,,0.231546232
Deaths,Austria,Both,All Ages,Liver cancer,Number,2006,2016,0.171636276,,0.315179111
Deaths,Austria,Male,All Ages,Kidney cancer,Number,2006,2016,0.152131518,,0.163024215
Deaths,Austria,Female,All Ages,Kidney cancer,Number,2006,2016,0.068788948,,0.132994531
Deaths,Austria,Both,All Ages,Kidney cancer,Number,2006,2016,0.116276385,,0.150153909
Deaths,Austria,Male,All Ages,Bladder cancer,Number,2006,2016,0.215387903,,0.231332573
Deaths,Austria,Female,All Ages,Bladder cancer,Number,2006,2016,0.036909816,,0.138592997
Deaths,Austria,Both,All Ages,Bladder cancer,Number,2006,2016,0.158936602,,0.205846841
Deaths,Austria,Male,All Ages,Brain and nervous system cancer,Number,2006,2016,0.115093291,,0.108466875
Deaths,Austria,Female,All Ages,Brain and nervous system cancer,Number,2006,2016,0.077894951,,0.252312768
Deaths,Austria,Both,All Ages,Brain and nervous system cancer,Number,2006,2016,0.098229575,,0.184193526
Deaths,Austria,Male,All Ages,Thyroid cancer,Number,2006,2016,0.05925823,,0.137454082
Deaths,Austria,Female,All Ages,Thyroid cancer,Number,2006,2016,-0.084940385,,0.104449885
Deaths,Austria,Both,All Ages,Thyroid cancer,Number,2006,2016,-0.025884665,,0.116571913
