Location,Sex,Incidence,Deaths,GDP_Per_Capita_2006,GDP_Per_Capita_2016,GDP_Per_Capita_Change,CPI_2006,CPI_2016,CPI_Change,PM2_5_2006,PM2_5_2016,PM2_5_Change,Population_2006,Population_2016,Population_Change
Afghanistan,Male,0.394800723,0.421764884,263.73,547.23,1.07496303,76.439,138.709,0.814636508,64.52,56.29,-0.127557347,26433049,35383128,0.338594273
Afghanistan,Female,0.557023195,0.587455548,263.73,547.23,1.07496303,76.439,138.709,0.814636508,64.52,56.29,-0.127557347,26433049,35383128,0.338594273
Afghanistan,Both,0.435828704,0.462940021,263.73,547.23,1.07496303,76.439,138.709,0.814636508,64.52,56.29,-0.127557347,26433049,35383128,0.338594273
Albania,Male,0.182179779,0.183579544,2972.74,4124.11,0.387309351,78.73,100.2,0.272704179,21.58,18.19,-0.157089898,2992547,2876101,-0.038912004
Albania,Female,0.14640737,0.137196474,2972.74,4124.11,0.387309351,78.73,100.2,0.272704179,21.58,18.19,-0.157089898,2992547,2876101,-0.038912004
Albania,Both,0.175186777,0.174414267,2972.74,4124.11,0.387309351,78.73,100.2,0.272704179,21.58,18.19,-0.157089898,2992547,2876101,-0.038912004
Algeria,Male,0.338102445,0.319242631,3478.82,3946.42,0.134413393,83.717,134.815,0.610365876,35.86,39.85,0.111266035,33641002,40551404,0.205416057
Algeria,Female,0.593384146,0.578562281,3478.82,3946.42,0.134413393,83.717,134.815,0.610365876,35.86,39.85,0.111266035,33641002,40551404,0.205416057
Algeria,Both,0.388149436,0.369028789,3478.82,3946.42,0.134413393,83.717,134.815,0.610365876,35.86,39.85,0.111266035,33641002,40551404,0.205416057
Andorra,Male,0.279129572,0.232836726,43747.69,37224.11,-0.149118273,113,132,0.168141593,12.96,10.26,-0.208333333,80993,77297,-0.045633573
Andorra,Female,0.322238832,0.283935798,43747.69,37224.11,-0.149118273,113,132,0.168141593,12.96,10.26,-0.208333333,80993,77297,-0.045633573
Andorra,Both,0.291285012,0.246188315,43747.69,37224.11,-0.149118273,113,132,0.168141593,12.96,10.26,-0.208333333,80993,77297,-0.045633573
Angola,Male,0.470048599,0.570655504,3478.82,3506.07,0.007833116,164.038,141.155,-0.139498165,34.96,31.79,-0.090675057,20149901,28842484,0.431395817
Angola,Female,0.561801379,0.628239891,3478.82,3506.07,0.007833116,164.038,141.155,-0.139498165,34.96,31.79,-0.090675057,20149901,28842484,0.431395817
Angola,Both,0.504868634,0.593527725,3478.82,3506.07,0.007833116,164.038,141.155,-0.139498165,34.96,31.79,-0.090675057,20149901,28842484,0.431395817
Argentina,Male,0.050768751,0.039914426,5919.01,12790.24,1.160874876,148.53,100,-0.32673534,16.4,13.75,-0.161585366,39289878,43590368,0.109455417
Argentina,Female,0.372265181,0.353498215,5919.01,12790.24,1.160874876,148.53,100,-0.32673534,16.4,13.75,-0.161585366,39289878,43590368,0.109455417
Argentina,Both,0.138277496,0.125649922,5919.01,12790.24,1.160874876,148.53,100,-0.32673534,16.4,13.75,-0.161585366,39289878,43590368,0.109455417
Armenia,Male,-0.033057684,-0.051903179,2158.14,3591.83,0.664317421,78.589,123.015,0.565295398,37.07,32.23,-0.130563798,2958307,2936146,-0.007491109
Armenia,Female,0.091681866,0.080587886,2158.14,3591.83,0.664317421,78.589,123.015,0.565295398,37.07,32.23,-0.130563798,2958307,2936146,-0.007491109
Armenia,Both,-0.012452645,-0.030101989,2158.14,3591.83,0.664317421,78.589,123.015,0.565295398,37.07,32.23,-0.130563798,2958307,2936146,-0.007491109
Australia,Male,0.352078607,0.147050703,36044.92,49971.13,0.386357079,89.412,113.476,0.269136134,10.6,8.61,-0.187735849,20697900,24190907,0.16876142
Australia,Female,0.451982092,0.278249547,36044.92,49971.13,0.386357079,89.412,113.476,0.269136134,10.6,8.61,-0.187735849,20697900,24190907,0.16876142
Australia,Both,0.389880586,0.194720867,36044.92,49971.13,0.386357079,89.412,113.476,0.269136134,10.6,8.61,-0.187735849,20697900,24190907,0.16876142
Austria,Male,0.143274449,0.025752528,40635.28,45237.81,0.113264385,92.67,111.675,0.205082551,15.59,12.6,-0.191789609,8268641,8736668,0.056602651
Austria,Female,0.402873843,0.253555974,40635.28,45237.81,0.113264385,92.67,111.675,0.205082551,15.59,12.6,-0.191789609,8268641,8736668,0.056602651
Austria,Both,0.231978811,0.098875043,40635.28,45237.81,0.113264385,92.67,111.675,0.205082551,15.59,12.6,-0.191789609,8268641,8736668,0.056602651
